nttId,idx,req,org,org_joint,elect,area,contest,date,n,cont_rate,resp_rate,method1,method_rate1,frame1,method2,method_rate2,frame2,method3,method_rate3,frame3,method4,method_rate4,frame4,method5,method_rate5,frame5,qnaire_file,analysis_file
17313,15272,양산신문,KOPRA,,제9회 전국동시지방선거,경상남도 양산시,"기초단체장선거,정당지지도, (경상남도 양산시 기초단체장선거 정당지지도 )",2026-02-07 12 시 55 분 ~ 21 시 46 분 2026-02-08 11 시 15 분 ~ 21 시 45 분 2026-02-09 11 시 10 분 ~ 13 시 30 분,1002,50.3%,4.6%,무선 ARS,84 %,무선전화번호 가상번호,유선 ARS,16 %,유선전화번호 RDD,설문지_양산신문_양산시장_260205_ver2_3.pdf,0208_양산신문+양산시장+여론조사+보고서_ver3_3.pdf
17307,15271,굿모닝충청,윈지코리아컨설팅,,제9회 전국동시지방선거,충청남도 전체,"광역단체장선거,정당지지도, (충청남도 전체 광역단체장선거 정당지지도 )",2026-02-05 10 시 00 분 ~ 22 시 00 분 2026-02-06 10 시 00 분 ~ 20 시 00 분,810,55.1%,6.4%,무선 ARS,100 %,무선전화번호 가상번호,260204_설문지_대전충남_정치현안조사(충남)_v4_3.pdf,260209_보고서_대전충남_정치현안조사(충남)_v2_3.pdf
17306,15270,굿모닝충청,윈지코리아컨설팅,,제9회 전국동시지방선거,대전광역시 전체,"광역단체장선거,정당지지도, (대전광역시 전체 광역단체장선거 정당지지도 )",2026-02-05 10 시 00 분 ~ 22 시 00 분 2026-02-06 10 시 00 분 ~ 16 시 00 분,803,51.3%,6.7%,무선 ARS,100 %,무선전화번호 가상번호,260204_설문지_대전충남_정치현안조사(대전)_v6_3.pdf,260209_보고서_대전충남_정치현안조사(대전)_v3_3.pdf
17303,15269,중부매일,(주)리서치앤리서치,,제9회 전국동시지방선거,충청북도 전체,"광역단체장선거,기초단체장선거,교육감선거 (충청북도 전체 광역단체장선거 기초단체장선거 교육감선거 정당지지도, 정책지지도 )",2026-02-07 10 시 10 분 ~ 21 시 40 분 2026-02-08 09 시 30 분 ~ 10 시 30 분,1012,30.6%,11.7%,무선전화면접,98 %,무선전화번호 휴대전화 가상번호,유선전화면접,2 %,유선전화번호 RDD,전체+질문지_3.pdf,결과+분석+자료+v1(교육감)_3.pdf
17295,15266,스트레이트뉴스,조원씨앤아이,,제9회 전국동시지방선거 서울 지방선거 여론조사,서울특별시 전체,"광역단체장선거,교육감선거,정당지지도 (서울특별시 전체 광역단체장선거 교육감선거 정당지지도 )",2026-02-07 11 시 30 분 ~ 20 시 36 분 2026-02-08 11 시 30 분 ~ 21 시 44 분,806,60.4%,5.7%,무선 ARS,100 %,무선전화번호 가상번호,스트레이트뉴스_서울+지선+여론조사_260205_3.pdf,스트레이트뉴스_서울+지선+여론조사_결과+보고서_260209_3.pdf
17291,15265,스트레이트뉴스,조원씨앤아이,,제9회 전국동시지방선거 전라남도 광양시 지방선거 여론조사,전라남도 광양시,"광역단체장선거,교육감선거,기초단체장선거 (전라남도 광양시 광역단체장선거교육감선거기초단체장선거 정당지지도 )",2026-02-07 17 시 06 분 ~ 17 시 39 분 2026-02-08 14 시 00 분 ~ 21 시 49 분,500,35.7%,9.8%,무선 ARS,100 %,무선전화번호 가상번호,스트레이트뉴스_광양+지선+여론조사_260205_v3_3.pdf,스트레이트뉴스_광양+지선+여론조사_결과+보고서_260209_3.pdf
17289,15264,스트레이트뉴스,조원씨앤아이,,제9회 전국동시지방선거 전라남도 여수시 지방선거 여론조사,전라남도 여수시,"광역단체장선거,교육감선거,기초단체장선거 (전라남도 여수시 광역단체장선거 교육감선거 기초단체장선거 정당지지도 )",2026-02-07 17 시 00 분 ~ 20 시 39 분 2026-02-08 11 시 30 분 ~ 20 시 48 분,501,41.4%,8.5%,무선 ARS,100 %,무선전화번호 가상번호,스트레이트뉴스_여수+지선+여론조사_260205_v3_3.pdf,스트레이트뉴스_여수+지선+여론조사_결과+보고서_260209_3.pdf
17299,15263,부안뉴스,(주)유앤미리서치,,제9회 전국동시지방선거,전북특별자치도 부안군,"기초단체장선거,광역의원선거, (전북특별자치도 부안군 기초단체장선거 광역의원선거 )",2026-02-08 14 시 00 분 ~ 21 시 00 분 2026-02-09 10 시 00 분 ~ 12 시 30 분,500,32.5%,19%,무선 ARS,100 %,무선전화번호 가상번호,(전북부안)설문지_부안뉴스_ver01_0208_3.pdf,업로드용_전북부안_60208_3.pdf
17296,15262,(주)스노우볼,한길리서치,,제9회 전국동시지방선거,경상북도 전체,교육감선거 (경상북도 전체 교육감선거 ),2026-02-07 19 시 00 분 ~ 21 시 00 분 2026-02-08 13 시 00 분 ~ 22 시 00 분,1002,61.6%,5.5%,무선 ARS,100 %,무선전화번호 가상번호,전체질문지_한길리서치0209_3.pdf,결과분석_한길리서치0209_3.pdf
17293,15261,진도투데이,모노커뮤니케이션즈(모노리서치),,제9회 전국동시지방선거,전라남도 진도군,"기초단체장선거,광역의원선거,정당지지도 (전라남도 진도군 기초단체장선거 광역의원선거 정당지지도 )",2026-02-06 13 시 50 분 ~ 21 시 00 분 2026-02-07 13 시 55 분 ~ 19 시 30 분,501,29.2%,13.5%,무선 ARS,80 %,무선전화번호 가상번호,유선 ARS,20 %,유선전화번호 RDD,1.+질문지_[전남+진도군]+진도투데이_제9회동시지방선거+관련+여론조사+결과보고서_260208.pdf_3.pdf,2.+결과분석자료_[전남+진도군]+진도투데이_제9회동시지방선거+관련+여론조사+결과보고서_260208.pdf_3.pdf
